"","SampleID","NOAASampleNumber","NOAASetName","SampleType","Species","MPG","RiverSystem","Site","Habitat","SnohomishONLYRegion","LifeHistory","MeanCompFL_mm","MeanCompWt_g","CountOfHATCHERYfishInComp","CountOfNATURALfishInComp","%Natural","MajorityOrigin","CollectionDate","Lipids_%","HCB ","aHCH ","bHCH ","lindane ","SumHCHs ","achlor ","cno ","bchlor ","hept ","HPE ","no3 ","oxychlor ","tno ","SumCHLDs ","aldrin ","diel ","mirex ","eslf1 ","cb17 ","cb18 ","cb28 ","cb31 ","cb33 ","cb44 ","cb49 ","cb52 ","cb66 ","cb70 ","cb74 ","cb82 ","cb87 ","cb95 ","cb99 ","cb101 ","cb105 ","cb110 ","cb118 ","cb128 ","cb138 ","cb149 ","cb151 ","cb153 ","cb156 ","cb158 ","cb170 ","cb171 ","cb177 ","cb180 ","cb183 ","cb187 ","cb191 ","cb194 ","cb195 ","cb199 ","cb205 ","cb206 ","cb208 ","cb209 ","Sum40CBs ","TotalPCBs ","opDDD ","opdde ","opDDT ","ppDDD ","ppDDE ","ppDDT ","SumDDTs ","BDE28 ","BDE47 ","BDE49 ","BDE66 ","BDE85 ","BDE99 ","BDE100 ","BDE153 ","BDE154 ","BDE155 ","BDE183 ","SumBDE ","Br5DE04 ","Br5DE05 ","Br6DE01 ","Br7DE01 ","SampleFlag","SampleNote","Task_number","LabStartDate","InstDateCH","Project","PeakAreaN_Vs","PercentN","PercentN_Accuracy","PercentN_Precision","d15NvsAirN2_permil","d15N_Accuracy","d15N_Precision","PeakAreaC_Vs","PercentC","PercentC_Accuracy","PercentC_Precision","d13CvsVPDB_permil","d13C_Accuracy","d13C_Precision","PeakAreaS_Vs","PercentS","PercentS_Accuracy","PercentS_Precision","d34SvsVCDT_permil","d34S_Accuracy","d34S_Precision"
"11","16ST-TW_Nfp04","119-3469","PS3405","Whole Body Minus Guts","Chinook salmon","Central Eastern","Stilliguamish ","Kayak Point","Nearshore",NA,"fry/parr",64.888,3.62,5,0,0,"Hatchery","Spring 2016",1.49686276428621,"0.83","< 0.12","< 0.12","< 0.12","< 0.12","0.12","0.17","< 0.12","< 0.12","< 0.12","< 0.12","< 0.34","0.57999999999999896","0.87","< 0.12","0.17","< 0.12","< 0.34","0.13","0.34","0.35","0.34","0.22","0.2","0.25","0.38","0.26","0.3","0.17","< 0.12","0.27","0.36","0.7","0.96","0.4","0.78","0.92","0.33",2.1,"0.86","0.27",2.6,"< 0.12","0.16","0.26","< 0.12","0.22","0.68","0.27","0.68","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12",16,21,"< 0.12","< 0.12","< 0.12","0.33",4.3,"0.14000000000000001",4.8,"< 0.12","2.9","0.39","< 0.12","0.18","4.0999999999999899","0.96","0.51","0.35","< 0.12","< 0.12","9.4","< 0.12","< 0.12","< 0.12","< 0.12",NA,"Sample used up; not enough for dry weights.","PSJuvChin16A",2016-08-25,2016-11-07,"2016_Juvenile_Chinook",236.456,12.206,-0.14002,0.087286,12.2955,-0.10673,0.052582,148.888,42.1342,0.36017,1.8832,-18.9094,0.061567,0.035394,60.419,1.0243,-0.041718,0.1494,13.8579,-0.18225,0.18161
"12","16ST-TW_Rfp01","119-3470","PS3405","Whole Body Minus Guts","Chinook salmon","Central Eastern","Stilliguamish ","South Fork Seine (Klein Farm)","River",NA,"fry/parr",43.658,0.96,1,9,90,"Wild","Spring 2016",1.83044381880025,"0.22","< 0.20","< 0.20","< 0.20","< 0.20","< 0.20","< 0.20","< 0.20","< 0.20","< 0.20","< 0.20","< 0.59","0.26","0.26","< 0.20","< 0.20","< 0.20","< 0.59","< 0.20","0.42","0.4","0.39","0.3","0.21","0.21","0.31","0.23","0.31","< 0.20","< 0.20","0.26","0.31","0.54","0.87","0.32","0.72","0.72","< 0.20",1.5,"0.79","0.23",1.7,"< 0.20","< 0.20","< 0.21","< 0.21","< 0.20","0.38","< 0.20","0.45","< 0.20","< 0.20","< 0.20","< 0.20","< 0.20","< 0.20","< 0.20","< 0.20",12,15,"< 0.20","< 0.20","< 0.20","< 0.20",3,"< 0.20",3,"< 0.20","1.5","0.39","< 0.21","< 0.20","0.81","0.43","< 0.20","< 0.20","< 0.20","< 0.20","3.2","< 0.20","< 0.20","< 0.20","< 0.20",NA,"Sample used up; not enough for dry weights.","PSJuvChin16A",2016-08-25,2016-11-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","16ST-TW_Tp01","119-3471","PS3405","Whole Body Minus Guts","Chinook salmon","Central Eastern","Stilliguamish ","Stilly Trap","River",NA,"parr",86.882,7.66,4,1,20,"Hatchery","Spring 2016",2.56888350199656,"0.25","< 0.17","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","< 0.51","< 0.18","< 0.51","< 0.18","< 0.18","< 0.18","< 0.51","< 0.18","0.34","0.33","0.31","0.23","< 0.18","< 0.18","0.19","< 0.18","0.2","< 0.18","< 0.18","< 0.18","< 0.18","0.23","0.42","0.21","0.45","0.5","< 0.18",0.91,"0.42","< 0.18",0.98,"< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","0.26","< 0.18","0.27","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18",6.2,8.8,"< 0.18","< 0.18","< 0.18","< 0.17",1.9,"< 0.18",1.9,"< 0.18","0.54","0.26","< 0.18","< 0.18","0.53","0.19","< 0.18","< 0.18","< 0.18","< 0.18","1.5","< 0.18","< 0.18","< 0.18","< 0.18",NA,NA,"PSJuvChin16A",2016-08-25,2016-11-07,"2016_Juvenile_Chinook",135.64,10.2454,-0.14002,0.087286,9.6331,-0.10673,0.052582,91.287,37.7792,0.36017,1.8832,-21.9764,0.061567,0.035394,51.435,0.87779,-0.041718,0.1494,4.6771,-0.18225,0.18161
"14","16SK-TW_Df01","119-3478","PS3406","Whole Body Minus Guts","Chinook salmon","Central Eastern","Skagit ","Swinomish Channel Old Bridge Blind","Delta",NA,"fry",50.529,1.16,0,10,100,"Wild","Spring 2016",1.15920749703133,"0.44","< 0.12","< 0.12","< 0.12","< 0.12","1.2","0.64","0.88","< 0.12","< 0.12","0.14000000000000001","0.36","1.9","5.0999999999999899","< 0.12","0.3","< 0.12","< 0.12","< 0.12","0.17","0.18","0.2","< 0.12","0.13","0.14000000000000001","0.19","0.16","0.21","< 0.12","< 0.12","< 0.12","0.19","0.4","0.55000000000000004","0.25","0.46","0.56000000000000005","0.17",1.2,"0.47","< 0.12",1.3,"< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","0.33","< 0.12","0.38","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12",7.6,11,"< 0.12","< 0.12","0.2","0.32",5.7,"1.1000000000000001",7.4,"< 0.12","1.4","0.24","< 0.12","< 0.12","1.1000000000000001","0.37","< 0.12","< 0.12","< 0.12","< 0.12","3","< 0.12","< 0.12","< 0.12","< 0.12",NA,NA,"PSJuvChin16A",2016-09-14,2016-11-15,"2016_Juvenile_Chinook",167.444,12.6416,-0.14002,0.087286,13.2417,-0.10673,0.052582,106.937,44.2477,0.36017,1.8832,-18.0093,0.061567,0.035394,65.724,1.093,-0.041718,0.1494,14.5324,-0.18225,0.18161
"15","16SK-TW_Df02","119-3479","PS3406","Whole Body Minus Guts","Chinook salmon","Central Eastern","Skagit ","IKA Upper","Delta",NA,"fry",48.515,1.05,0,10,100,"Wild","Spring 2016",1.22152517696791,"< 0.13","< 0.13","< 0.13","< 0.13","< 0.13","< 0.13","< 0.13","< 0.13","< 0.13","< 0.13","< 0.13","< 0.13","0.18","0.18","< 0.13","0.14000000000000001","< 0.13","< 0.13","< 0.13","0.18","0.19","0.21","< 0.13","< 0.13","< 0.14","< 0.13","< 0.13","0.14000000000000001","< 0.13","< 0.13","< 0.13","< 0.13","0.26","0.35","0.18","0.32","0.4","< 0.13",0.8,"0.35","< 0.13",0.93,"< 0.13","< 0.13","< 0.14","< 0.14","< 0.13","0.21","< 0.13","0.26","< 0.13","< 0.13","< 0.13","< 0.13","< 0.13","< 0.13","< 0.13","< 0.13",4.8,7,"< 0.13","< 0.13","< 0.13","< 0.13",3.2,"0.39",3.6,"< 0.13","0.85","0.22","< 0.13","< 0.13","0.66","0.21","< 0.13","< 0.13","< 0.13","< 0.13","1.9","< 0.13","< 0.13","< 0.13","< 0.13",NA,NA,"PSJuvChin16A",2016-09-14,2016-11-15,"2016_Juvenile_Chinook",228.444,12.9793,-0.14002,0.087286,12.0306,-0.10673,0.052582,148.964,46.3963,0.36017,1.8832,-20.7045,0.061567,0.035394,47.075,0.7958,-0.24246,0.1496,9.4032,-0.063085,0.33819
"16","16SK-TW_Df04","119-3480","PS3406","Whole Body Minus Guts","Chinook salmon","Central Eastern","Skagit ","Browns SI Diked Side","Delta",NA,"fry",51.418,1.47,0,10,100,"Wild","Spring 2016",1.16852531714225,"< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","0.23","0.23","< 0.12","0.4","< 0.12","< 0.12","< 0.12","0.17","0.17","0.18","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","0.17","0.25","0.14000000000000001","0.27","0.3","< 0.12",0.63,"0.27","< 0.12",0.73,"< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","0.18","< 0.12","0.23","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12",3.7,5.6,"0.14000000000000001","< 0.12","0.22","0.77",5.4,"1.2",7.7,"< 0.12","0.47","0.18","< 0.12","< 0.12","0.37","0.16","< 0.12","< 0.12","< 0.12","< 0.12","1.2","< 0.12","< 0.12","< 0.12","< 0.12",NA,NA,"PSJuvChin16A",2016-09-14,2016-11-15,"2016_Juvenile_Chinook",184.691,12.2769,-0.14002,0.087286,12.562,-0.10673,0.052582,116.726,42.5286,0.36017,1.8832,-22.9781,0.061567,0.035394,54.299,0.85179,-0.24246,0.1496,9.8348,-0.063085,0.33819
"17","16SK-TW_Df06","119-3481","PS3406","Whole Body Minus Guts","Chinook salmon","Central Eastern","Skagit ","Tom Moore","Delta",NA,"fry",42.512,0.69,0,10,100,"Wild","Spring 2016",1.34455567417197,"0.16","< 0.10","< 0.11","< 0.11","< 0.11","< 0.11","0.22","< 0.11","< 0.11","< 0.11","< 0.11","0.16","0.68","1.1000000000000001","< 0.11","0.18","< 0.11","< 0.11","< 0.11","0.2","0.2","0.21","0.13","0.12","0.13","0.19","0.15","0.2","< 0.11","< 0.11","0.13","0.2","0.38","0.56000000000000005","0.23","0.46","0.5","0.17",1.1,"0.5","0.14000000000000001",1.2,"< 0.11","< 0.11","< 0.11","< 0.11","< 0.11","0.27","< 0.11","0.35","< 0.11","< 0.11","< 0.11","< 0.11","< 0.11","< 0.11","< 0.11","< 0.11",7.7,11,"< 0.11","< 0.11","0.11","0.39",5.3,"0.68",6.4,"< 0.11","1.2","0.27","< 0.11","< 0.11","0.55000000000000004","0.26","< 0.11","< 0.11","< 0.11","< 0.11","2.2999999999999901","< 0.11","< 0.11","< 0.11","< 0.11",NA,NA,"PSJuvChin16A",2016-09-14,2016-11-15,"2016_Juvenile_Chinook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","16SK-TW_Dp01","119-3482","PS3406","Whole Body Minus Guts","Chinook salmon","Central Eastern","Skagit ","Swinomish Ch Site 55","Delta",NA,"parr",68.916,3.6,0,5,100,"Wild","Spring 2016",0.90139468152267,"0.17","< 0.11","< 0.11","< 0.11","< 0.11","< 0.11","0.11","< 0.11","< 0.11","< 0.11","< 0.11","0.23","0.38","0.73","< 0.11","0.19","< 0.11","< 0.11","< 0.11","0.21","0.19","0.21","0.14000000000000001","< 0.11","0.11","0.12","< 0.11","0.14000000000000001","< 0.11","< 0.11","< 0.11","< 0.11","0.2","0.27","0.16","0.28999999999999898","0.36","< 0.11",0.66,"0.24","< 0.11",0.73,"< 0.11","< 0.11","< 0.11","< 0.11","< 0.11","0.22","< 0.11","0.2","< 0.11","< 0.11","< 0.11","< 0.11","< 0.11","< 0.11","< 0.11","< 0.11",4.4,6.2,"< 0.11","< 0.11","< 0.11","0.35",4.7,"0.5",5.5,"< 0.11","0.75","0.21","< 0.11","< 0.11","0.78","0.21","< 0.11","< 0.11","< 0.11","< 0.11","2","< 0.11","< 0.11","< 0.11","< 0.11",NA,NA,"PSJuvChin16A",2016-09-14,2016-11-15,"2016_Juvenile_Chinook",228.547,12.8145,-0.14002,0.087286,10.4922,-0.10673,0.052582,140.87,43.3008,0.36017,1.8832,-19.7099,0.061567,0.035394,57.763,0.94228,-0.24246,0.1496,9.6863,-0.063085,0.33819
"19","16SK-TW_Dp03","119-3483","PS3406","Whole Body Minus Guts","Chinook salmon","Central Eastern","Skagit ","Fish Town Bar/Fishtown Bar Area","Delta",NA,"parr",60.434,2.52,0,5,100,"Wild","Spring 2016",1.017155353923,"< 0.13","< 0.13","< 0.13","< 0.13","< 0.13","< 0.13","< 0.13","< 0.13","< 0.13","< 0.13","< 0.13","< 0.13","0.15","0.15","< 0.13","0.23","< 0.13","< 0.13","< 0.13","0.19","0.2","0.2","0.13","< 0.13","< 0.13","< 0.13","< 0.13","0.16","< 0.13","< 0.13","< 0.13","< 0.13","0.17","0.23","< 0.13","0.23","0.3","< 0.13",0.59,"0.2","< 0.13",0.64,"< 0.13","< 0.13","< 0.13","< 0.13","< 0.13","0.2","< 0.13","0.18","< 0.13","< 0.13","< 0.13","< 0.13","< 0.13","< 0.13","< 0.13","< 0.13",3.6,5.09999999999999,"< 0.13","< 0.13","< 0.13","< 0.13",2.29999999999999,"0.17",2.5,"< 0.13","0.67","0.19","< 0.13","< 0.13","0.73","0.24","< 0.13","< 0.13","< 0.13","< 0.13","1.8","< 0.13","< 0.13","< 0.13","< 0.13",NA,NA,"PSJuvChin16A",2016-09-14,2016-11-15,"2016_Juvenile_Chinook",191.196,12.8643,-0.14002,0.087286,7.9578,-0.10673,0.052582,122.076,45.0212,0.36017,1.8832,-24.6452,0.061567,0.035394,52.467,0.84543,-0.24246,0.1496,3.335,-0.063085,0.33819
"20","16SK-TW_Dp05r1","119-3484","PS3406","Whole Body Minus Guts","Chinook salmon","Central Eastern","Skagit ","Freshwater Sl 521/ Freshwater Slough Boat Ramp","Delta",NA,"parr",63.024,3.14,0,5,100,"Wild","Spring 2016",1.01737538130826,"0.13","< 0.095","< 0.097","< 0.097","< 0.097","< 0.097","< 0.096","< 0.096","< 0.097","< 0.097","< 0.097","0.13","0.16","0.28000000000000003","< 0.097","0.28999999999999898","< 0.097","< 0.097","< 0.096","0.2","0.18","0.2","0.13","0.11","0.11","0.12","0.11","0.15","< 0.097","< 0.096","< 0.097","< 0.097","0.16","0.23","0.15","0.25","0.32","0.1",0.569999999999999,"0.21","< 0.097",0.64,"< 0.097","< 0.097","< 0.098","< 0.098","< 0.098","0.18","< 0.097","0.18","< 0.098","< 0.097","< 0.097","< 0.098","< 0.097","< 0.097","< 0.097","< 0.097",4.3,6,"< 0.097","< 0.098","< 0.097","0.21",2.6,"0.27",3.1,"< 0.096","1","0.22","< 0.098","< 0.097","1.2","0.26","0.14000000000000001","< 0.097","< 0.097","< 0.097","2.9","< 0.097","< 0.097","< 0.097","< 0.097",NA,NA,"PSJuvChin16A",2016-09-14,2016-11-15,"2016_Juvenile_Chinook",235.498,12.4924,-0.14002,0.087286,8.2755,-0.10673,0.052582,149.896,43.5911,0.36017,1.8832,-24.0966,0.061567,0.035394,48.76,0.80713,-0.24246,0.1496,1.9034,-0.063085,0.33819
"21","16SK-TW_Dp05r2","119-3485","PS3406","Whole Body Minus Guts","Chinook salmon","Central Eastern","Skagit ","Freshwater Sl 521/ Freshwater Slough Boat Ramp","Delta",NA,"parr",73.492,4.3,0,5,100,"Wild","Spring 2016",1.25510987667711,"0.16","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","0.2","0.2","< 0.12","0.32","< 0.12","< 0.12","< 0.12","0.21","0.21","0.22","0.14000000000000001","< 0.12","< 0.12","0.14000000000000001","< 0.12","0.18","< 0.12","< 0.12","< 0.12","< 0.12","0.15","0.25","0.17","0.31","0.34","< 0.12",0.51,"0.2","< 0.12",0.54,"< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","0.15","< 0.12","0.14000000000000001","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12",3.9,5.3,"< 0.12","< 0.12","< 0.12","0.31",3.2,"0.39",3.9,"< 0.12","1.1000000000000001","0.23","< 0.12","< 0.12","1.1000000000000001","0.25","0.14000000000000001","< 0.12","< 0.12","< 0.12","2.8","< 0.12","< 0.12","< 0.12","< 0.12",NA,NA,"PSJuvChin16A",2016-09-14,2016-11-15,"2016_Juvenile_Chinook",163.15,12.6665,-0.14002,0.087286,7.7187,-0.10673,0.052582,105.576,44.9208,0.36017,1.8832,-23.9726,0.061567,0.035394,51.772,0.85122,-0.24246,0.1496,2.7741,-0.063085,0.33819
"22","16DN-TW_Dp01","119-3486","PS3406","Whole Body Minus Guts","Chinook salmon","North West","Dungeness ","Ulva","Delta",NA,"parr",76.8233333333333,5.36666666666667,2,1,33.3333333333333,"Hatchery","Spring 2016",2.70662533094901,"0.27","< 0.075","< 0.076","< 0.076","< 0.076","0.09","9.6000000000000002E-2","< 0.076","< 0.076","< 0.076","< 0.076","0.33","0.22","0.74","< 0.076","8.1000000000000003E-2","< 0.076","< 0.076","8.2000000000000003E-2","0.2","0.21","0.23","0.13","0.16","0.2","0.27","0.2","0.24","0.11","< 0.076","0.13","0.28999999999999898","0.39","0.57999999999999896","0.22","0.51","0.51","0.18",1.1,"0.56999999999999895","0.16",1.3,"< 0.076","< 0.076","0.15","< 0.077","0.11","0.38","0.12","0.39","< 0.077","< 0.077","< 0.077","< 0.077","< 0.076","< 0.076","< 0.077","< 0.076",9.19999999999999,12,"< 0.076","< 0.077","0.54","0.37",2.1,"0.1",3.1,"< 0.076","0.26","0.2","< 0.077","< 0.076","8.3000000000000004E-2","< 0.076","< 0.076","< 0.076","< 0.077","< 0.077","0.54","< 0.076","< 0.076","< 0.076","< 0.077",NA,NA,"PSJuvChin16A",2016-09-14,2016-11-15,"2016_Juvenile_Chinook",230.339,11.733,-0.14002,0.087286,10.9097,-0.10673,0.052582,166.306,46.4354,0.36017,1.8832,-20.9869,0.061567,0.035394,60.388,0.95473,-0.06232,0.54672,9.0674,0.10584,0.83967
"23","16DN-TW_Dp02r1","119-3487","PS3406","Whole Body Minus Guts","Chinook salmon","North West","Dungeness ","Cline Spit West","Delta",NA,"parr",77.89,5.03333333333333,3,0,0,"Hatchery","Spring 2016",2.22695823364734,"0.26","< 0.083","< 0.085","< 0.085","< 0.085","< 0.085","< 0.084","< 0.084","< 0.085","< 0.085","< 0.085","0.41","0.12","0.53","< 0.085","0.13","< 0.085","< 0.085","< 0.084","0.2","0.21","0.23","0.14000000000000001","0.14000000000000001","0.16","0.21","0.17","0.22","9.8000000000000004E-2","< 0.084","0.11","0.22","0.28999999999999898","0.47","0.19","0.43","0.45","0.14000000000000001",0.91,"0.47","0.13",1,"< 0.085","< 0.085","9.1999999999999901E-2","< 0.086","9.5000000000000001E-2","0.22","< 0.085","0.31","< 0.085","< 0.085","< 0.085","< 0.085","< 0.085","< 0.085","< 0.085","< 0.085",7.3,9.5,"< 0.085","< 0.085","< 0.085","0.21",1.4,"< 0.085",1.6,"< 0.084","0.25","0.21","< 0.085","< 0.085","0.31","0.12","< 0.085","< 0.085","< 0.085","< 0.085","0.89","< 0.085","< 0.085","< 0.085","< 0.085",NA,NA,"PSJuvChin16A",2016-09-14,2016-11-15,"2016_Juvenile_Chinook",185.562,12.5078,-0.14002,0.087286,10.7971,-0.10673,0.052582,127.71,47.1796,0.36017,1.8832,-19.6022,0.061567,0.035394,53.771,0.93928,-0.06232,0.54672,10.0852,0.10584,0.83967
"24","16DN-TW_Dp02r2","119-3488","PS3406","Whole Body Minus Guts","Chinook salmon","North West","Dungeness ","Cline Spit West","Delta",NA,"parr",89.42,8.16,4,1,20,"Hatchery","Spring 2016",3.09061350105924,"0.31","9.4E-2","0.12","< 0.093","0.21","0.11","9.9000000000000005E-2","< 0.092","< 0.093","< 0.093","< 0.093","0.33","0.19","0.74","< 0.093","0.33","< 0.093","< 0.093","9.9000000000000005E-2","0.24","0.24","0.26","0.16","0.19","0.23","0.32","0.21","0.27","0.12","< 0.093","0.14000000000000001","0.33","0.36","0.6","0.22","0.55000000000000004","0.5","0.15",1.1,"0.57999999999999896","0.16",1.1,"< 0.093","< 0.093","0.12","< 0.094","0.1","0.28999999999999898","< 0.093","0.33","< 0.094","< 0.094","< 0.094","< 0.094","< 0.093","< 0.093","< 0.094","< 0.093",9,11,"< 0.093","< 0.094","< 0.093","0.47",1.9,"0.11",2.4,"< 0.093","0.21","0.2","< 0.094","< 0.093","< 0.093","< 0.093","< 0.093","< 0.093","< 0.094","< 0.094","0.41","< 0.093","< 0.093","< 0.093","< 0.094",NA,NA,"PSJuvChin16A",2016-09-14,2016-11-15,"2016_Juvenile_Chinook",185.195,11.0145,-0.14002,0.087286,11.0388,-0.10673,0.052582,138.151,45.0294,0.36017,1.8832,-19.9557,0.061567,0.035394,59.34,0.98525,-0.06232,0.54672,12.1132,0.10584,0.83967
"25","16DN-TW_Dp02r3","119-3489","PS3406","Whole Body Minus Guts","Chinook salmon","North West","Dungeness ","Cline Spit West","Delta",NA,"parr",87.626,8.9,1,4,80,"Wild","Spring 2016",4.12929486127807,"0.5","< 0.25","< 0.26","< 0.25","< 0.26","< 0.26","< 0.25","< 0.25","< 0.25","< 0.26","< 0.25","< 0.25","0.42","0.42","< 0.25","0.56000000000000005","< 0.26","< 0.26","< 0.25","0.28000000000000003","0.33","0.31","< 0.25","0.28000000000000003","0.36","0.48","0.32","0.37","< 0.26","< 0.25","< 0.26","0.52","0.57999999999999896","0.86","0.28000000000000003","0.83","0.66","< 0.26",1.6,"0.88","< 0.25",1.8,"< 0.25","< 0.26","< 0.26","< 0.26","< 0.26","0.56000000000000005","< 0.25","0.54","< 0.26","< 0.26","< 0.26","< 0.26","< 0.26","< 0.25","< 0.26","< 0.26",12,16,"< 0.26","< 0.26","< 0.25","1.1000000000000001",3.3,"0.28000000000000003",4.59999999999999,"< 0.25","0.44","0.27","< 0.26","< 0.26","< 0.25","< 0.26","< 0.25","< 0.26","< 0.26","< 0.26","0.71","< 0.26","< 0.26","< 0.26","< 0.26",NA,NA,"PSJuvChin16A",2016-09-14,2016-11-15,"2016_Juvenile_Chinook",143.372,11.4821,-0.14002,0.087286,10.2574,-0.10673,0.052582,104.077,45.6675,0.36017,1.8832,-22.1176,0.061567,0.035394,53.017,0.92076,-0.06232,0.54672,9.4279,0.10584,0.83967
"26","16DN-TW_Dp02r4","119-3490","PS3406","Whole Body Minus Guts","Chinook salmon","North West","Dungeness ","Cline Spit West","Delta",NA,"parr",89.02,8.88,2,3,60,"Hatchery/Wild","Spring 2016",2.96615398141518,"0.31","< 0.11","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","0.39","0.17","0.56000000000000005","< 0.12","0.2","< 0.12","< 0.12","< 0.12","0.23","0.26","0.28999999999999898","0.15","0.18","0.21","0.28000000000000003","0.21","0.27","< 0.12","< 0.12","0.13","0.28999999999999898","0.36","0.59","0.23","0.55000000000000004","0.53","0.16",1.1,"0.56999999999999895","0.16",1.2,"< 0.12","< 0.12","0.12","< 0.12","< 0.12","0.3","< 0.12","0.34","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12",8.69999999999999,12,"< 0.12","< 0.12","< 0.12","0.4",1.9,"< 0.12",2.29999999999999,"< 0.12","0.24","0.22","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","< 0.12","0.46","< 0.12","< 0.12","< 0.12","< 0.12",NA,NA,"PSJuvChin16A",2016-09-14,2016-11-15,"2016_Juvenile_Chinook",142.885,10.5024,-0.14002,0.087286,11.219,-0.10673,0.052582,114.901,46.2669,0.36017,1.8832,-19.8247,0.061567,0.035394,53.686,0.89738,-0.06232,0.54672,12.1252,0.10584,0.83967
"27","16DN-TW_Dp02r5","119-3497","PS3407","Whole Body Minus Guts","Chinook salmon","North West","Dungeness ","Cline Spit West","Delta",NA,"parr",95.7266666666667,10.8666666666667,3,0,0,"Hatchery","Spring 2016",2.63462105252143,"0.28000000000000003","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","0.32","< 0.22","0.32","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","0.24","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","0.31","0.46","< 0.22","0.38","0.48","< 0.22",0.96,"0.49","< 0.22",1.1,"< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","0.24","< 0.22","0.3","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22",5,7.6,"< 0.22","< 0.22","< 0.22","0.23",1.5,"< 0.22",1.8,"< 0.22","< 0.22","0.27","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","0.27","< 0.22","< 0.22","< 0.22","< 0.22",NA,NA,"PSJuvChin16B",2016-09-19,2016-12-06,"2016_Juvenile_Chinook",188.043,12.3123,-0.097837,0.17252,11.183,0.0058048,0.12101,130.756,48.7458,1.3875,0.63868,-19.2065,0.013954,0.032888,58.469,0.95425,-0.06232,0.54672,12.2529,0.10584,0.83967
"28","16PU-TW_Dfp01","119-3498","PS3407","Whole Body Minus Guts","Chinook salmon","South","Puyallup","City Waterway","Delta",NA,"fry/parr",74.824,5.08,2,3,60,"Hatchery/Wild","Spring 2016",2.41689034105311,"0.36","< 0.22","< 0.22","< 0.22","< 0.22","0.45","0.35","0.35","< 0.22","< 0.22","< 0.22","0.45","1","2.6","< 0.22","0.86","< 0.22","< 0.22","< 0.22","0.26","0.44","0.35","< 0.22","0.39","0.45","0.77","0.63","0.55000000000000004","0.37","< 0.22","0.45","0.9","1.2","2","0.75","1.5","1.9","0.57999999999999896",3.7,"1.7","0.61",4.4,"0.26","0.36","0.57999999999999896","< 0.22","0.37","1.5","0.53","1.3","< 0.22","< 0.22","< 0.22","0.28000000000000003","< 0.22","< 0.22","< 0.22","< 0.22",29,39,"< 0.22","< 0.22","< 0.22","0.94",3.8,"0.76",5.5,"< 0.22","2.8","0.35","< 0.22","< 0.22","1.4","0.55000000000000004","< 0.22","< 0.22","< 0.22","< 0.22","5.0999999999999899","< 0.22","< 0.22","< 0.22","< 0.22",NA,NA,"PSJuvChin16B",2016-09-19,2016-12-06,"2016_Juvenile_Chinook",180.875,12.6397,-0.097837,0.17252,12.2201,0.0058048,0.12101,123.145,48.984,1.3875,0.63868,-18.6404,0.013954,0.032888,56.511,0.95372,-0.06232,0.54672,13.4467,0.10584,0.83967
